label,time,error,filtered
aimai-nan,601088.0,12.98,False
bao-nan,3239222.0,16.9,False
e2e-nan,16226588.0,35.17,False
llm-Qwen-Qwen3-Embedding-0.6B,9597197.99,7.21,False
llm-Qwen-Qwen3-Embedding-4B,41914091.69,7.67,False
llm-Qwen-Qwen3-Embedding-8B,76427359.79,9.56,False
llm-answerdotai-ModernBERT-base,5420563.52,22.33,False
llm-bert-base-uncased,3472555.27,23.15,False
llm-google-gemma-3-12b-pt,27968146.68,12.82,False
llm-google-gemma-3-1b-pt,7787940.7,12.89,False
llm-google-gemma-3-4b-pt,12750059.85,11.61,False
llm-meta-llama-Llama-3.1-8B,18554282.83,12.32,False
llm-meta-llama-Llama-3.2-1B,5548883.94,10.87,False
llm-meta-llama-Llama-3.2-3B,10657323.65,8.44,False
llm-sentence-transformers-all-MiniLM-L6-v2,2143700.85,21.04,False
qf-nan,56670600.0,25.23,False
postgres-nan,601088.0,9.66,False
