label,time,error,filtered
aimai-nan,601088.0,0.5994634203919393,False
bao-nan,3239222.0,1.17788476852022,False
e2e-nan,16226588.0,3.366120841037705,False
llm-Qwen-Qwen3-Embedding-0.6B,9597197.99,-0.5934290136485156,False
llm-Qwen-Qwen3-Embedding-4B,41914091.69,-0.4654565527815345,False
llm-Qwen-Qwen3-Embedding-8B,76427359.79,-0.02081221791973098,False
llm-answerdotai-ModernBERT-base,5420563.52,1.8789923220208073,False
llm-bert-base-uncased,3472555.27,1.9792017135523565,False
llm-google-gemma-3-12b-pt,27968146.68,0.5736120128034935,False
llm-google-gemma-3-1b-pt,7787940.7,0.5849503764132564,False
llm-google-gemma-3-4b-pt,12750059.85,0.3698220103680163,False
llm-meta-llama-Llama-3.1-8B,18554282.83,0.49127140974967076,False
llm-meta-llama-Llama-3.2-1B,5548883.94,0.23657434654994736,False
llm-meta-llama-Llama-3.2-3B,10657323.65,-0.27084375889238865,False
llm-sentence-transformers-all-MiniLM-L6-v2,2143700.85,1.7189283549425722,False
qf-nan,56670600.0,2.2289237154821606,False
postgres-nan,601088.0,0.0,False
