label,time,error,filtered
aimai-nan,48960.0,-4.856703727926749,False
bao-nan,89200.0,-3.4905697063970442,False
e2e-nan,922979.9999999999,-2.6193173121077606,False
llm-Qwen-Qwen3-Embedding-0.6B,226385.38,-5.003815639077522,False
llm-Qwen-Qwen3-Embedding-4B,1246198.83,-5.003815639077522,False
llm-Qwen-Qwen3-Embedding-8B,2236333.8,-5.003815639077522,False
llm-answerdotai-ModernBERT-base,86933.22,-4.584470354750683,False
llm-bert-base-uncased,68737.16,-4.762846865364851,False
llm-google-gemma-3-12b-pt,694687.66,-5.003815639077522,False
llm-google-gemma-3-1b-pt,148880.77000000002,-5.003815639077522,False
llm-google-gemma-3-4b-pt,300385.43,-4.953903543831601,False
llm-meta-llama-Llama-3.1-8B,402422.99,-4.904874265725034,False
llm-meta-llama-Llama-3.2-1B,124969.44,-4.953903543831601,False
llm-meta-llama-Llama-3.2-3B,230370.23,-5.003815639077522,False
llm-sentence-transformers-all-MiniLM-L6-v2,63203.03,-4.904874265725034,False
qf-nan,546694.0,-4.953903543831601,False
postgres-nan,48960.0,0.0,False
