label,time,error,filtered
aimai-nan,48960.0,5.73,False
bao-nan,89200.0,37.8,False
e2e-nan,922979.9999999999,5.18,False
llm-Qwen-Qwen3-Embedding-0.6B,226385.38,1.78,False
llm-Qwen-Qwen3-Embedding-4B,1246198.83,1.92,False
llm-Qwen-Qwen3-Embedding-8B,2236333.8,1.86,False
llm-answerdotai-ModernBERT-base,86933.22,2.49,False
llm-bert-base-uncased,68737.16,2.23,False
llm-google-gemma-3-12b-pt,694687.66,1.57,False
llm-google-gemma-3-1b-pt,148880.77000000002,1.65,False
llm-google-gemma-3-4b-pt,300385.43,1.61,False
llm-meta-llama-Llama-3.1-8B,402422.99,1.62,False
llm-meta-llama-Llama-3.2-1B,124969.44,1.57,False
llm-meta-llama-Llama-3.2-3B,230370.23,1.51,False
llm-sentence-transformers-all-MiniLM-L6-v2,63203.03,1.63,False
qf-nan,546694.0,1.39,False
postgres-nan,48960.0,95.91,False
