label,time,error,filtered
aimai-nan,48960.0,143.72,False
bao-nan,89200.0,88.61,False
e2e-nan,922979.9999999999,61.41,False
llm-Qwen-Qwen3-Embedding-0.6B,226385.38,8.01,False
llm-Qwen-Qwen3-Embedding-4B,1246198.83,8.19,False
llm-Qwen-Qwen3-Embedding-8B,2236333.8,61.82,False
llm-answerdotai-ModernBERT-base,86933.22,4.25,False
llm-bert-base-uncased,68737.16,3.49,False
llm-google-gemma-3-12b-pt,694687.66,3.02,False
llm-google-gemma-3-1b-pt,148880.77000000002,4.43,False
llm-google-gemma-3-4b-pt,300385.43,4.19,False
llm-meta-llama-Llama-3.1-8B,402422.99,5.67,False
llm-meta-llama-Llama-3.2-1B,124969.44,3.68,False
llm-meta-llama-Llama-3.2-3B,230370.23,5.4,False
llm-sentence-transformers-all-MiniLM-L6-v2,63203.03,88.23,False
qf-nan,546694.0,9.4,False
postgres-nan,48960.0,1778.36,False
