label,time,error,filtered
aimai-nan,48960.0,-12.292966321829072,False
bao-nan,89200.0,-20.01969130635899,False
e2e-nan,922979.9999999999,-28.924269682297023,False
llm-Qwen-Qwen3-Embedding-0.6B,226385.38,-222.01297400241867,False
llm-Qwen-Qwen3-Embedding-4B,1246198.83,-217.13336777123075,False
llm-Qwen-Qwen3-Embedding-8B,2236333.8,-28.73197978931715,False
llm-answerdotai-ModernBERT-base,86933.22,-418.4352572164969,False
llm-bert-base-uncased,68737.16,-509.5567767727272,False
llm-google-gemma-3-12b-pt,694687.66,-588.8592289584763,False
llm-google-gemma-3-1b-pt,148880.77000000002,-401.4331748550431,False
llm-google-gemma-3-4b-pt,300385.43,-424.42723816870017,False
llm-meta-llama-Llama-3.1-8B,402422.99,-313.64055064625063,False
llm-meta-llama-Llama-3.2-1B,124969.44,-483.247930677703,False
llm-meta-llama-Llama-3.2-3B,230370.23,-329.32288942038144,False
llm-sentence-transformers-all-MiniLM-L6-v2,63203.03,-20.106342897327103,False
qf-nan,546694.0,-189.1819482736425,False
postgres-nan,48960.0,0.0,False
