label,time,error,filtered
aimai-nan,53790.0,-0.5986117074567054,False
bao-nan,114411.99999999999,-0.49935193396548205,False
e2e-nan,1079430.0,-0.46126029598874974,False
llm-Qwen-Qwen3-Embedding-0.6B,260322.88,-0.5986117074567054,False
llm-Qwen-Qwen3-Embedding-4B,1356132.96,-0.5986117074567054,False
llm-Qwen-Qwen3-Embedding-8B,2480319.13,-0.5986117074567054,False
llm-answerdotai-ModernBERT-base,134248.39,-0.5986117074567054,False
llm-bert-base-uncased,94691.69,-0.5986117074567054,False
llm-google-gemma-3-12b-pt,784861.17,-0.5986117074567054,False
llm-google-gemma-3-1b-pt,227961.08000000002,-0.5986117074567054,False
llm-google-gemma-3-4b-pt,355220.69,-0.6192093661920938,False
llm-meta-llama-Llama-3.1-8B,534949.88,-0.5986117074567054,False
llm-meta-llama-Llama-3.2-1B,155516.54,-0.5986117074567054,False
llm-meta-llama-Llama-3.2-3B,320232.27,-0.5986117074567054,False
llm-sentence-transformers-all-MiniLM-L6-v2,82942.24,-0.5986117074567054,False
qf-nan,1075722.0,-0.5383385470976713,False
postgres-nan,53790.0,0.0,False
