label,time,error,filtered
aimai-nan,53790.0,1.05,False
bao-nan,114411.99999999999,1.41,False
e2e-nan,1079430.0,1.79,False
llm-Qwen-Qwen3-Embedding-0.6B,260322.88,1.05,False
llm-Qwen-Qwen3-Embedding-4B,1356132.96,1.05,False
llm-Qwen-Qwen3-Embedding-8B,2480319.13,1.05,False
llm-answerdotai-ModernBERT-base,134248.39,1.05,False
llm-bert-base-uncased,94691.69,1.06,False
llm-google-gemma-3-12b-pt,784861.17,1.05,False
llm-google-gemma-3-1b-pt,227961.08000000002,1.05,False
llm-google-gemma-3-4b-pt,355220.69,1.04,False
llm-meta-llama-Llama-3.1-8B,534949.88,1.05,False
llm-meta-llama-Llama-3.2-1B,155516.54,1.04,False
llm-meta-llama-Llama-3.2-3B,320232.27,1.04,False
llm-sentence-transformers-all-MiniLM-L6-v2,82942.24,1.04,False
qf-nan,1075722.0,1.08,False
postgres-nan,53790.0,2.07,False
