label,time,error,filtered
aimai-nan,53790.0,-0.17137804497707365,False
bao-nan,114411.99999999999,-3.2308697095257983,False
e2e-nan,1079430.0,-2.2342394032848025,False
llm-Qwen-Qwen3-Embedding-0.6B,260322.88,-4.873588781293921,False
llm-Qwen-Qwen3-Embedding-4B,1356132.96,-4.6932474157605055,False
llm-Qwen-Qwen3-Embedding-8B,2480319.13,-4.6932474157605055,False
llm-answerdotai-ModernBERT-base,134248.39,-4.827362909892533,False
llm-bert-base-uncased,94691.69,-4.483806826309616,False
llm-google-gemma-3-12b-pt,784861.17,-4.873588781293921,False
llm-google-gemma-3-1b-pt,227961.08000000002,-4.873588781293921,False
llm-google-gemma-3-4b-pt,355220.69,-4.873588781293921,False
llm-meta-llama-Llama-3.1-8B,534949.88,-4.873588781293921,False
llm-meta-llama-Llama-3.2-1B,155516.54,-4.873588781293921,False
llm-meta-llama-Llama-3.2-3B,320232.27,-4.873588781293921,False
llm-sentence-transformers-all-MiniLM-L6-v2,82942.24,-4.920608950386438,False
qf-nan,1075722.0,-4.483806826309616,False
postgres-nan,53790.0,0.0,False
