system,method,full_train_s,infer_ms_per_query,note
postgres,qf,1116.14,11.935,
postgres,aimai,16.55,0.825,
postgres,bao,123.04,0.718,bao_train_uncapped
postgres,e2e_cost,692.36,4.491,
postgres,bert2,6283.38,26.002,llm_cx2=cx4x0.918tr/0.871inf
postgres,bert4,10113.27,28.868,llm_cx2=cx4x0.918tr/0.871inf
postgres,sentBert,9650.35,34.774,llm_cx2=cx4x0.918tr/0.871inf
duckdb,qf,3244.65,13.422,
duckdb,aimai,28.88,0.349,
duckdb,bao,113.60,0.542,bao_train_uncapped
duckdb,e2e_cost,1298.09,4.921,
duckdb,bert2,5689.97,24.521,llm_cx2=cx4x0.918tr/0.871inf
duckdb,bert4,7710.16,26.423,llm_cx2=cx4x0.918tr/0.871inf
duckdb,sentBert,8101.64,33.054,llm_cx2=cx4x0.918tr/0.871inf
spark,qf,2344.29,27.661,
spark,aimai,28.26,0.509,
spark,bao,707.33,1.467,bao_train_uncapped
spark,e2e_cost,1082.70,4.960,
spark,bert2,5916.50,24.569,llm_cx2=cx4x0.918tr/0.871inf
spark,bert4,6948.70,26.760,llm_cx2=cx4x0.918tr/0.871inf
spark,sentBert,7856.32,34.002,llm_cx2=cx4x0.918tr/0.871inf
