model,avg_ms,p50_qerror,p90_qerror,p95_qerror,max_qerror,cdf_file
google/bert_uncased_L-2_H-128_A-2,8.94,15.424931002950077,588.5428564030215,1897.7779199487852,4961.3434696258255,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-2_H-128_A-2_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-2_H-256_A-4,8.56,11.909206643430524,458.8843979668803,1453.05143616166,5735.4385825979525,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-2_H-256_A-4_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-2_H-512_A-8,9.79,12.760297148845227,530.6999740936021,1493.53097296007,5254.197121023304,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-2_H-512_A-8_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-2_H-768_A-12,9.4,23.31812163278635,972.9266227547546,3492.040627015888,9806.710862638296,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-2_H-768_A-12_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-4_H-128_A-2,11.45,10.311229463183222,494.116504158481,1146.3338745564058,3634.486184988682,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-4_H-128_A-2_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-4_H-256_A-4,12.54,11.626709179737306,616.7670127028808,1513.594245774511,6670.988032454645,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-4_H-256_A-4_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-4_H-512_A-8,12.41,11.244926845137057,459.6999921461185,1568.1587722032891,5539.844032391668,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-4_H-512_A-8_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-4_H-768_A-12,11.32,12.215988331910124,698.4759243495091,1560.8433815374622,6857.058905926158,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-4_H-768_A-12_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-6_H-128_A-2,13.71,16.972785740306787,605.148295474649,1294.5228746283808,6945.075100772628,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-6_H-128_A-2_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-6_H-256_A-4,12.73,9.296343627748437,281.208768131798,569.3453582381838,2404.246458725354,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-6_H-256_A-4_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-6_H-512_A-8,12.75,9.894423718430282,335.50891155979906,946.2891373414984,2437.2511280632057,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-6_H-512_A-8_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-6_H-768_A-12,13.19,13.54127987029903,406.5408236631537,1417.1992762004495,3222.220479786796,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-6_H-768_A-12_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-8_H-128_A-2,14.7,13.304010845718633,688.4955518389513,1293.688259244115,7338.638670018152,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-8_H-128_A-2_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-8_H-256_A-4,14.72,20.275395610685678,1358.2055211105503,2389.0859729094664,10453.473712684045,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-8_H-256_A-4_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-8_H-512_A-8,14.72,9.677200465084535,512.4396487722762,1379.7031228083226,5018.511928118457,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-8_H-512_A-8_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-8_H-768_A-12,15.06,15.83414108694378,785.9447938464842,1773.863814166371,6387.183729972419,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-8_H-768_A-12_emb1000_quant-4-bit_maxq-10000_seed42.csv
google/bert_uncased_L-10_H-128_A-2,15.61,10.785080246511336,374.7374572134746,715.7947917887765,2041.3336312565984,time_llm_pretrained-None_1.0_cdf_postgres_0.0001_b64_h2048_google-bert_uncased_L-10_H-128_A-2_emb1000_quant-4-bit_maxq-10000_seed42.csv
