method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Pareto Search (Ours),5,42,148817.45174871676,83.76208280101181,1,1,9
Pareto Search (Ours),5,43,134998.72151485743,75.9841937668156,2,1,9
Pareto Search (Ours),5,44,153214.62185514125,86.23703531643572,2,2,9
Pareto Search (Ours),5,45,154776.61335927347,87.11620412470506,2,1,9
Pareto Search (Ours),5,46,143197.98020109738,80.59915644030235,2,1,9
Pareto Search (Ours),5,47,157776.38352526058,88.80462839265779,2,1,9
Pareto Search (Ours),5,48,100008.26777659098,56.28977453822588,3,0,9
Pareto Search (Ours),5,49,124092.38039237552,69.84554646824506,2,0,9
Pareto Search (Ours),5,50,118995.00740432282,66.97648391358004,3,0,9
Pareto Search (Ours),5,51,134839.23059776588,75.89442411113039,2,1,9
Metadata-Only Maximin,5,42,148991.54916234268,83.86007374094675,2,1,9
Metadata-Only Maximin,5,43,134998.72151485743,75.9841937668156,2,1,9
Metadata-Only Maximin,5,44,153214.62185514125,86.23703531643572,2,2,9
Metadata-Only Maximin,5,45,151702.28019874197,85.38581198504423,2,0,9
Metadata-Only Maximin,5,46,143197.98020109738,80.59915644030235,2,1,9
Metadata-Only Maximin,5,47,157776.38352526058,88.80462839265779,2,1,9
Metadata-Only Maximin,5,48,103085.48264943017,58.02178865314627,4,0,9
Metadata-Only Maximin,5,49,127169.59526521471,71.57756058316545,3,0,9
Metadata-Only Maximin,5,50,122072.22227716201,68.70849802850043,4,0,9
Metadata-Only Maximin,5,51,134839.23059776588,75.89442411113039,2,1,9
Latency-Only Spacing,5,42,148817.45174871676,83.76208280101181,1,1,9
Latency-Only Spacing,5,43,149754.02583065932,84.28923465638304,4,0,9
Latency-Only Spacing,5,44,157458.52907869124,88.62572363277003,3,1,9
Latency-Only Spacing,5,45,155904.11830288588,87.75082164661292,3,0,9
Latency-Only Spacing,5,46,151840.0361331561,85.4633480794279,4,0,9
Latency-Only Spacing,5,47,141300.8430162902,79.53135048010476,1,0,9
Latency-Only Spacing,5,48,116149.67258276868,65.37498376612389,3,0,9
Latency-Only Spacing,5,49,155844.29638176644,87.71715080592024,3,0,9
Latency-Only Spacing,5,50,129303.24590174877,72.77848842587285,2,1,9
Latency-Only Spacing,5,51,149942.07417644773,84.39507789536766,4,0,9
Random,5,42,143810.12158833616,80.94370096086301,3,0,9
Random,5,43,133175.90849225278,74.95822125125349,4,0,9
Random,5,44,148352.65780627495,83.5004729680605,3,1,9
Random,5,45,145555.22694824266,81.92593562444131,1,1,9
Random,5,46,124925.52720918109,70.31448416227643,4,0,9
Random,5,47,148817.45174871676,83.76208280101181,1,1,9
Random,5,48,124968.70482530806,70.3387867357628,4,0,9
Random,5,49,120532.85273193182,67.84206201717396,1,0,9
Random,5,50,110483.1632610061,62.18558213731743,2,0,9
Random,5,51,162131.7334972999,91.25604239483638,4,1,9
Uniform Latency,5,42,127910.42159261685,71.99453557801893,2,0,9
Uniform Latency,5,43,109890.39792508137,61.85194345068587,4,0,9
Uniform Latency,5,44,149250.64123940025,84.00590403004635,2,1,9
Uniform Latency,5,45,130659.85465291105,73.54205730309904,3,0,9
Uniform Latency,5,46,114149.77966798245,64.2493416189627,3,0,9
Uniform Latency,5,47,127504.02039163404,71.76579217025896,3,0,9
Uniform Latency,5,48,148817.45174871676,83.76208280101181,1,1,9
Uniform Latency,5,49,122582.18501123678,68.99553117048117,3,0,9
Uniform Latency,5,50,92489.76776640324,52.05797770934231,3,0,9
Uniform Latency,5,51,114407.83845224728,64.39459031796352,3,0,9
Largest-N,5,42,86114.75364314823,48.469793295653005,2,1,9
Largest-N,5,43,86114.75364314823,48.469793295653005,2,1,9
Largest-N,5,44,86114.75364314823,48.469793295653005,2,1,9
Largest-N,5,45,86114.75364314823,48.469793295653005,2,1,9
Largest-N,5,46,86114.75364314823,48.469793295653005,2,1,9
Largest-N,5,47,86114.75364314823,48.469793295653005,2,1,9
Largest-N,5,48,86114.75364314823,48.469793295653005,2,1,9
Largest-N,5,49,86114.75364314823,48.469793295653005,2,1,9
Largest-N,5,50,86114.75364314823,48.469793295653005,2,1,9
