method,budget,hv_pct_mean,hv_pct_std,true_found_mean,true_found_std,n_frontier_mean,true_total,n_seeds
Pareto Search (Ours),5,77.2,10.4,0.8,0.6,2.1,9,10
Metadata-Only Maximin,5,77.5,9.5,0.7,0.7,2.5,9,10
Latency-Only Spacing,5,82.0,7.5,0.3,0.5,2.8,9,10
Random,5,76.7,9.0,0.4,0.5,2.7,9,10
Uniform Latency,5,69.7,9.8,0.2,0.4,2.7,9,10
Largest-N,5,48.5,0.0,1.0,0.0,2.0,9,10
Pareto Search (Ours),7,83.3,7.9,0.9,0.9,2.5,9,10
Metadata-Only Maximin,7,83.4,7.6,0.8,0.9,2.8,9,10
Latency-Only Spacing,7,82.3,6.9,0.3,0.5,3.3,9,10
Random,7,83.1,11.4,0.7,0.8,2.8,9,10
Uniform Latency,7,82.0,5.2,0.2,0.4,3.2,9,10
Largest-N,7,61.6,0.0,1.0,0.0,3.0,9,10
Pareto Search (Ours),10,95.2,3.9,1.7,0.8,3.4,9,10
Metadata-Only Maximin,10,95.9,2.5,1.8,0.6,3.4,9,10
Latency-Only Spacing,10,86.9,7.0,0.7,0.5,3.4,9,10
Random,10,85.6,6.4,1.3,1.2,3.7,9,10
Uniform Latency,10,83.5,5.1,0.4,0.5,3.7,9,10
Largest-N,10,70.2,0.0,1.0,0.0,4.0,9,10
Pareto Search (Ours),12,95.9,3.1,1.8,1.0,4.1,9,10
Metadata-Only Maximin,12,96.4,2.0,1.9,0.9,3.9,9,10
Latency-Only Spacing,12,88.2,4.7,1.0,0.5,4.0,9,10
Random,12,85.3,5.3,1.0,0.7,4.0,9,10
Uniform Latency,12,84.6,7.0,0.4,0.7,4.5,9,10
Largest-N,12,70.4,0.0,1.0,0.0,5.0,9,10
Pareto Search (Ours),15,96.2,3.3,2.0,1.2,4.7,9,10
Metadata-Only Maximin,15,96.6,2.1,1.9,0.9,4.5,9,10
Latency-Only Spacing,15,88.7,4.5,1.2,0.4,4.2,9,10
Random,15,87.2,5.9,1.0,0.8,4.8,9,10
Uniform Latency,15,89.2,3.9,1.2,0.9,4.3,9,10
Largest-N,15,75.4,0.0,1.0,0.0,6.0,9,10
Pareto Search (Ours),20,96.4,3.3,2.1,1.1,5.6,9,10
Metadata-Only Maximin,20,96.8,2.2,2.0,0.8,5.7,9,10
Latency-Only Spacing,20,93.3,2.2,1.8,0.6,5.2,9,10
Random,20,91.4,5.7,2.3,1.3,4.7,9,10
Uniform Latency,20,89.7,2.1,1.1,0.7,4.7,9,10
Largest-N,20,79.4,0.0,1.0,0.0,9.0,9,10
Pareto Search (Ours),25,98.2,0.7,3.0,1.1,5.9,9,10
Metadata-Only Maximin,25,98.0,0.6,2.7,0.9,6.4,9,10
Latency-Only Spacing,25,93.5,2.1,2.1,0.7,5.9,9,10
Random,25,93.1,4.4,2.1,1.1,5.2,9,10
Uniform Latency,25,91.1,2.9,0.6,0.8,6.1,9,10
Largest-N,25,82.1,0.0,1.0,0.0,9.0,9,10
Pareto Search (Ours),30,98.3,0.7,3.2,1.0,5.8,9,10
Metadata-Only Maximin,30,98.2,0.6,3.1,1.1,5.9,9,10
Latency-Only Spacing,30,93.7,2.1,2.1,0.7,6.9,9,10
Random,30,94.2,3.8,2.9,1.4,6.3,9,10
Uniform Latency,30,91.6,4.1,1.1,0.7,7.0,9,10
Largest-N,30,87.7,0.0,1.0,0.0,8.0,9,10
