method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Ours (Metadata-Only Maximin),5,42,148991.54916234268,83.86,2,1,9
Ours (Metadata-Only Maximin),5,43,134998.72151485743,75.98,2,1,9
Ours (Metadata-Only Maximin),5,44,153214.62185514125,86.24,2,2,9
Ours (Metadata-Only Maximin),5,45,151702.28019874197,85.39,2,0,9
Ours (Metadata-Only Maximin),5,46,143197.98020109738,80.6,2,1,9
Ours (Metadata-Only Maximin),5,47,157776.38352526058,88.8,2,1,9
Ours (Metadata-Only Maximin),5,48,103085.48264943017,58.02,4,0,9
Ours (Metadata-Only Maximin),5,49,127169.59526521471,71.58,3,0,9
Ours (Metadata-Only Maximin),5,50,122072.22227716201,68.71,4,0,9
Ours (Metadata-Only Maximin),5,51,134839.23059776588,75.89,2,1,9
"Combined (lw=5, fw=3)",5,42,148817.45174871676,83.76,1,1,9
"Combined (lw=5, fw=3)",5,43,134998.72151485743,75.98,2,1,9
"Combined (lw=5, fw=3)",5,44,153214.62185514125,86.24,2,2,9
"Combined (lw=5, fw=3)",5,45,154776.61335927347,87.12,2,1,9
"Combined (lw=5, fw=3)",5,46,143197.98020109738,80.6,2,1,9
"Combined (lw=5, fw=3)",5,47,157776.38352526058,88.8,2,1,9
"Combined (lw=5, fw=3)",5,48,100008.26777659098,56.29,3,0,9
"Combined (lw=5, fw=3)",5,49,124092.38039237552,69.85,2,0,9
"Combined (lw=5, fw=3)",5,50,118995.00740432282,66.98,3,0,9
"Combined (lw=5, fw=3)",5,51,134839.23059776588,75.89,2,1,9
Latency-Only Spacing,5,42,148817.45174871676,83.76,1,1,9
Latency-Only Spacing,5,43,149754.02583065932,84.29,4,0,9
Latency-Only Spacing,5,44,157458.52907869124,88.63,3,1,9
Latency-Only Spacing,5,45,155904.11830288588,87.75,3,0,9
Latency-Only Spacing,5,46,151840.0361331561,85.46,4,0,9
Latency-Only Spacing,5,47,141300.8430162902,79.53,1,0,9
Latency-Only Spacing,5,48,116149.67258276868,65.37,3,0,9
Latency-Only Spacing,5,49,155844.29638176644,87.72,3,0,9
Latency-Only Spacing,5,50,129303.24590174877,72.78,2,1,9
Latency-Only Spacing,5,51,149942.07417644773,84.4,4,0,9
Random,5,42,143810.12158833616,80.94,3,0,9
Random,5,43,133175.90849225278,74.96,4,0,9
Random,5,44,148352.65780627495,83.5,3,1,9
Random,5,45,145555.22694824266,81.93,1,1,9
Random,5,46,124925.52720918109,70.31,4,0,9
Random,5,47,148817.45174871676,83.76,1,1,9
Random,5,48,124968.70482530806,70.34,4,0,9
Random,5,49,120532.85273193182,67.84,1,0,9
Random,5,50,110483.1632610061,62.19,2,0,9
Random,5,51,162131.7334972999,91.26,4,1,9
Uniform Latency,5,42,127910.42159261685,71.99,2,0,9
Uniform Latency,5,43,109890.39792508137,61.85,4,0,9
Uniform Latency,5,44,149250.64123940025,84.01,2,1,9
Uniform Latency,5,45,130659.85465291105,73.54,3,0,9
Uniform Latency,5,46,114149.77966798245,64.25,3,0,9
Uniform Latency,5,47,127504.02039163404,71.77,3,0,9
Uniform Latency,5,48,148817.45174871676,83.76,1,1,9
Uniform Latency,5,49,122582.18501123678,69.0,3,0,9
Uniform Latency,5,50,92489.76776640324,52.06,3,0,9
Uniform Latency,5,51,114407.83845224728,64.39,3,0,9
Largest-N,5,42,86114.75364314823,48.47,2,1,9
Largest-N,5,43,86114.75364314823,48.47,2,1,9
Largest-N,5,44,86114.75364314823,48.47,2,1,9
Largest-N,5,45,86114.75364314823,48.47,2,1,9
Largest-N,5,46,86114.75364314823,48.47,2,1,9
Largest-N,5,47,86114.75364314823,48.47,2,1,9
Largest-N,5,48,86114.75364314823,48.47,2,1,9
Largest-N,5,49,86114.75364314823,48.47,2,1,9
Largest-N,5,50,86114.75364314823,48.47,2,1,9
Largest-N,5,51,86114.75364314823,48.47,2,1,9
Smallest-N,5,42,122467.21602034773,68.93,2,0,9
Smallest-N,5,43,122467.21602034773,68.93,2,0,9
Smallest-N,5,44,122467.21602034773,68.93,2,0,9
Smallest-N,5,45,122467.21602034773,68.93,2,0,9
Smallest-N,5,46,122467.21602034773,68.93,2,0,9
Smallest-N,5,47,122467.21602034773,68.93,2,0,9
Smallest-N,5,48,122467.21602034773,68.93,2,0,9
Smallest-N,5,49,122467.21602034773,68.93,2,0,9
Smallest-N,5,50,122467.21602034773,68.93,2,0,9
Smallest-N,5,51,122467.21602034773,68.93,2,0,9
Ours (Metadata-Only Maximin),7,42,158602.29526625597,89.27,2,1,9
Ours (Metadata-Only Maximin),7,43,136660.26844025028,76.92,3,1,9
Ours (Metadata-Only Maximin),7,44,174485.82318515913,98.21,3,3,9
Ours (Metadata-Only Maximin),7,45,151702.28019874197,85.39,2,0,9
Ours (Metadata-Only Maximin),7,46,143197.98020109738,80.6,2,1,9
Ours (Metadata-Only Maximin),7,47,157776.38352526058,88.8,2,1,9
Ours (Metadata-Only Maximin),7,48,124667.39820440611,70.17,4,0,9
Ours (Metadata-Only Maximin),7,49,146134.72311819057,82.25,3,0,9
Ours (Metadata-Only Maximin),7,50,144110.67156870765,81.11,4,0,9
Ours (Metadata-Only Maximin),7,51,144164.35409470883,81.14,3,1,9
"Combined (lw=5, fw=3)",7,42,158602.29526625597,89.27,2,1,9
