setting,budget,method,hv_pct_mean,hv_pct_std,true_found_mean
Pretrained (ep0),5,Ours (Maximin),76.6,9.1,0.6
Pretrained (ep0),5,Random,78.2,8.7,0.6
Pretrained (ep0),5,Smallest-N,68.9,0.0,0.0
Pretrained (ep0),5,Largest-N,48.5,0.0,1.0
Pretrained (ep0),7,Ours (Maximin),82.8,7.2,0.8
Pretrained (ep0),7,Random,81.5,9.4,0.6
Pretrained (ep0),7,Smallest-N,72.1,0.0,1.0
Pretrained (ep0),7,Largest-N,61.6,0.0,1.0
Pretrained (ep0),10,Ours (Maximin),96.1,2.2,1.6
Pretrained (ep0),10,Random,85.2,6.1,1.0
Pretrained (ep0),10,Smallest-N,78.5,0.0,1.0
Pretrained (ep0),10,Largest-N,70.2,0.0,1.0
Pretrained (ep0),12,Ours (Maximin),96.6,1.9,1.8
Pretrained (ep0),12,Random,86.0,5.4,1.0
Pretrained (ep0),12,Smallest-N,85.9,0.0,2.0
Pretrained (ep0),12,Largest-N,70.4,0.0,1.0
Pretrained (ep0),15,Ours (Maximin),96.7,1.9,1.8
Pretrained (ep0),15,Random,90.5,5.9,1.3
Pretrained (ep0),15,Smallest-N,85.9,0.0,2.0
Pretrained (ep0),15,Largest-N,75.4,0.0,1.0
Pretrained (ep0),20,Ours (Maximin),97.0,1.9,2.0
Pretrained (ep0),20,Random,90.6,5.7,1.8
Pretrained (ep0),20,Smallest-N,85.9,0.0,2.0
Pretrained (ep0),20,Largest-N,79.4,0.0,1.0
Pretrained (ep0),25,Ours (Maximin),98.0,0.6,2.6
Pretrained (ep0),25,Random,93.1,3.9,2.0
Pretrained (ep0),25,Smallest-N,85.9,0.0,2.0
Pretrained (ep0),25,Largest-N,82.1,0.0,1.0
Pretrained (ep0),30,Ours (Maximin),98.3,0.5,3.2
Pretrained (ep0),30,Random,94.2,4.0,2.6
Pretrained (ep0),30,Smallest-N,85.9,0.0,2.0
Pretrained (ep0),30,Largest-N,87.7,0.0,1.0
Epoch 1,5,Ours (Maximin),73.8,4.4,0.0
Epoch 1,5,Random,77.2,12.4,0.7
Epoch 1,5,Smallest-N,82.5,0.0,2.0
Epoch 1,5,Largest-N,38.2,0.0,0.0
Epoch 1,7,Ours (Maximin),75.5,4.0,0.0
Epoch 1,7,Random,80.2,6.8,0.6
Epoch 1,7,Smallest-N,82.6,0.0,3.0
Epoch 1,7,Largest-N,56.1,0.0,0.0
Epoch 1,10,Ours (Maximin),81.2,2.2,0.4
Epoch 1,10,Random,82.8,7.5,0.6
Epoch 1,10,Smallest-N,82.6,0.0,3.0
Epoch 1,10,Largest-N,67.9,0.0,0.0
Epoch 1,12,Ours (Maximin),84.1,2.4,1.0
Epoch 1,12,Random,81.4,6.4,0.8
Epoch 1,12,Smallest-N,82.6,0.0,3.0
Epoch 1,12,Largest-N,67.9,0.0,0.0
Epoch 1,15,Ours (Maximin),86.5,1.6,1.6
Epoch 1,15,Random,88.8,6.0,1.4
Epoch 1,15,Smallest-N,82.8,0.0,3.0
Epoch 1,15,Largest-N,70.9,0.0,0.0
Epoch 1,20,Ours (Maximin),89.0,4.3,2.0
Epoch 1,20,Random,88.8,6.4,1.6
Epoch 1,20,Smallest-N,82.8,0.0,3.0
Epoch 1,20,Largest-N,77.5,0.0,0.0
Epoch 1,25,Ours (Maximin),91.4,5.4,2.3
Epoch 1,25,Random,91.1,6.2,2.2
Epoch 1,25,Smallest-N,82.8,0.0,3.0
Epoch 1,25,Largest-N,77.5,0.0,0.0
Epoch 1,30,Ours (Maximin),91.7,5.3,3.0
Epoch 1,30,Random,90.9,4.2,2.6
Epoch 1,30,Smallest-N,82.9,0.0,4.0
Epoch 1,30,Largest-N,92.8,0.0,1.0
Epoch 2,5,Ours (Maximin),75.1,7.3,0.0
Epoch 2,5,Random,75.1,13.2,0.3
Epoch 2,5,Smallest-N,61.9,0.0,1.0
Epoch 2,5,Largest-N,33.9,0.0,0.0
Epoch 2,7,Ours (Maximin),78.1,7.8,0.2
Epoch 2,7,Random,77.3,11.2,0.6
Epoch 2,7,Smallest-N,62.0,0.0,2.0
Epoch 2,7,Largest-N,47.9,0.0,0.0
Epoch 2,10,Ours (Maximin),86.8,3.7,0.6
Epoch 2,10,Random,86.3,8.7,1.0
Epoch 2,10,Smallest-N,74.3,0.0,2.0
Epoch 2,10,Largest-N,72.6,0.0,0.0
Epoch 2,12,Ours (Maximin),88.0,2.9,0.6
Epoch 2,12,Random,84.2,8.7,1.0
Epoch 2,12,Smallest-N,84.1,0.0,3.0
Epoch 2,12,Largest-N,72.6,0.0,0.0
Epoch 2,15,Ours (Maximin),91.4,2.1,1.2
Epoch 2,15,Random,90.2,5.4,1.2
Epoch 2,15,Smallest-N,84.7,0.0,4.0
Epoch 2,15,Largest-N,78.8,0.0,1.0
Epoch 2,20,Ours (Maximin),93.3,2.1,1.4
Epoch 2,20,Random,91.3,4.9,1.6
Epoch 2,20,Smallest-N,84.7,0.0,4.0
Epoch 2,20,Largest-N,86.1,0.0,1.0
Epoch 2,25,Ours (Maximin),94.3,1.6,1.6
Epoch 2,25,Random,92.3,5.7,2.0
Epoch 2,25,Smallest-N,84.7,0.0,4.0
