table,column,min,max
role_type,id,1,12
role_type,role,NA,NA
info_type,id,1,113
info_type,info,NA,NA
cast_info,id,1,36244344
cast_info,person_id,1,4061926
cast_info,movie_id,1,2525975
cast_info,person_role_id,1,3140339
cast_info,note,NA,NA
cast_info,nr_order,0,1115798165
cast_info,role_id,1,11
movie_info_idx,id,1,1380035.0
movie_info_idx,movie_id,2,2525793.0
movie_info_idx,info_type_id,99,113.0
movie_info_idx,info,NA,9997.0
movie_info_idx,note,,
person_info,id,1,2963664
person_info,note,NA,NA
person_info,person_id,4,4167491
person_info,info,NA,NA
person_info,info_type_id,15,39
movie_companies,id,1,2609129
movie_companies,movie_id,2,2525745
movie_companies,company_id,1,234997
movie_companies,company_type_id,1,2
movie_companies,note,NA,NA
movie_keyword,id,1,4523930
movie_keyword,movie_id,2,2525971
movie_keyword,keyword_id,1,134170
aka_title,id,1,377960
aka_title,md5sum,NA,NA
aka_title,episode_of_id,10,25391
aka_title,production_year,1888,2016
aka_title,kind_id,1,7
aka_title,movie_id,0,2525672
aka_title,note,NA,NA
aka_title,season_nr,1,63
aka_title,episode_nr,1,4315
aka_title,imdb_index,NA,NA
aka_title,title,NA,NA
aka_title,phonetic_code,NA,NA
complete_cast,id,1,135086
complete_cast,status_id,3,4
complete_cast,subject_id,1,2
complete_cast,movie_id,285,2528312
kind_type,id,1,7
kind_type,kind,NA,NA
char_name,id,1,3140339
char_name,md5sum,NA,NA
char_name,name,NA,NA
char_name,imdb_id,,
char_name,imdb_index,NA,NA
char_name,name_pcode_nf,NA,NA
char_name,surname_pcode,NA,NA
company_type,id,1,4
company_type,kind,NA,NA
aka_name,id,1,901343
aka_name,md5sum,NA,NA
aka_name,person_id,4,4167489
aka_name,name,NA,NA
aka_name,name_pcode_cf,NA,NA
aka_name,imdb_index,NA,NA
aka_name,name_pcode_nf,NA,NA
aka_name,surname_pcode,NA,NA
name,id,1,4167491
name,md5sum,NA,NA
name,imdb_id,,
name,name,NA,NA
name,gender,NA,NA
name,imdb_index,NA,NA
name,name_pcode_cf,NA,NA
name,surname_pcode,NA,NA
name,name_pcode_nf,NA,NA
link_type,id,1,18
link_type,link,NA,NA
keyword,id,1,134170
keyword,keyword,NA,NA
keyword,phonetic_code,NA,NA
movie_link,id,1,29997
movie_link,movie_id,2,186175
movie_link,linked_movie_id,284,2524994
movie_link,link_type_id,1,17
company_name,id,1,234997
company_name,md5sum,NA,NA
company_name,country_code,NA,NA
company_name,imdb_id,,
company_name,name,NA,NA
company_name,name_pcode_sf,NA,NA
company_name,name_pcode_nf,NA,NA
title,id,1,2528312
title,md5sum,NA,NA
title,kind_id,1,7
title,season_nr,1,2013
title,production_year,1880,2019
title,title,NA,NA
title,episode_of_id,2,2528186
title,imdb_index,NA,NA
title,imdb_id,,
title,episode_nr,1,91821
title,series_years,NA,NA
title,phonetic_code,NA,NA
movie_info,id,1,14835720
movie_info,movie_id,1,2526430
movie_info,info_type_id,1,110
movie_info,info,NA,NA
movie_info,note,NA,NA
comp_cast_type,id,1,4
comp_cast_type,kind,NA,NA
