,table,column,bins,table_column
0,role_type,id,[1 1.22 1.44 1.66 1.88 2.1 2.32 2.54 2.76 2.98 3.2 3.42 3.64 3.86 4.08 4.3 4.52 4.74 4.96 5.18 5.4 5.62 5.84 6.06 6.28 6.5 6.72 6.94 7.16 7.38 7.6 7.82 8.04 8.26 8.48 8.7 8.92 9.14 9.36 9.58 9.8 10.02 10.24 10.46 10.68 10.9 11.12 11.34 11.56 11.78 12],role_type.id
1,role_type,role,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],role_type.role
2,info_type,id,[1 3.24 5.48 7.72 9.96 12.2 14.44 16.68 18.92 21.16 23.4 25.64 27.88 30.12 32.36 34.6 36.84 39.08 41.32 43.56 45.8 48.04 50.28 52.52 54.76 57 59.24 61.48 63.72 65.96 68.2 70.44 72.68 74.92 77.16 79.4 81.64 83.88 86.12 88.36 90.6 92.84 95.08 97.32 99.56 101.8 104.04 106.28 108.52 110.76 113],info_type.id
3,info_type,info,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],info_type.info
4,cast_info,id,[1 724887.86 1449774.72 2174661.58 2899548.44 3624435.3 4349322.16 5074209.02 5799095.88 6523982.74 7248869.6 7973756.46 8698643.32 9423530.18 10148417.04 10873303.9 11598190.76 12323077.62 13047964.48 13772851.34 14497738.2 15222625.06 15947511.92 16672398.78 17397285.64 18122172.5 18847059.36 19571946.22 20296833.08 21021719.94 21746606.8 22471493.66 23196380.52 23921267.38 24646154.24 25371041.1 26095927.96 26820814.82 27545701.68 28270588.54 28995475.4 29720362.26 30445249.12 31170135.98 31895022.84 32619909.7 33344796.56 34069683.42 34794570.28 35519457.14 36244344],cast_info.id
5,cast_info,person_id,[1 81239.5 162478 243716.5 324955 406193.5 487432 568670.5 649909 731147.5 812386 893624.5 974863 1056101.5 1137340 1218578.5 1299817 1381055.5 1462294 1543532.5 1624771 1706009.5 1787248 1868486.5 1949725 2030963.5 2112202 2193440.5 2274679 2355917.5 2437156 2518394.5 2599633 2680871.5 2762110 2843348.5 2924587 3005825.5 3087064 3168302.5 3249541 3330779.5 3412018 3493256.5 3574495 3655733.5 3736972 3818210.5 3899449 3980687.5 4061926],cast_info.person_id
6,cast_info,movie_id,[1 50520.48 101039.96 151559.44 202078.92 252598.4 303117.88 353637.36 404156.84 454676.32 505195.8 555715.28 606234.76 656754.24 707273.72 757793.2 808312.68 858832.16 909351.64 959871.12 1010390.6 1060910.08 1111429.56 1161949.04 1212468.52 1262988 1313507.48 1364026.96 1414546.44 1465065.92 1515585.4 1566104.88 1616624.36 1667143.84 1717663.32 1768182.8 1818702.28 1869221.76 1919741.24 1970260.72 2020780.2 2071299.68 2121819.16 2172338.64 2222858.12 2273377.6 2323897.08 2374416.56 2424936.04 2475455.52 2525975],cast_info.movie_id
7,cast_info,person_role_id,[1 62807.76 125614.52 188421.28 251228.04 314034.8 376841.56 439648.32 502455.08 565261.84 628068.6 690875.36 753682.12 816488.88 879295.64 942102.4 1004909.16 1067715.92 1130522.68 1193329.44 1256136.2 1318942.96 1381749.72 1444556.48 1507363.24 1570170 1632976.76 1695783.52 1758590.28 1821397.04 1884203.8 1947010.56 2009817.32 2072624.08 2135430.84 2198237.6 2261044.36 2323851.12 2386657.88 2449464.64 2512271.4 2575078.16 2637884.92 2700691.68 2763498.44 2826305.2 2889111.96 2951918.72 3014725.48 3077532.24 3140339],cast_info.person_role_id
8,cast_info,note,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],cast_info.note
9,cast_info,nr_order,[0 22315963.3 44631926.6 66947889.90000001 89263853.2 111579816.5 133895779.80000001 156211743.09999999 178527706.40000001 200843669.70000002 223159633 245475596.30000001 267791559.60000002 290107522.90000004 312423486.19999999 334739449.5 357055412.80000001 379371376.10000002 401687339.40000004 424003302.69999999 446319266 468635229.30000001 490951192.60000002 513267155.90000004 535583119.20000005 557899082.5 580215045.80000007 602531009.10000002 624846972.39999998 647162935.70000005 669478899 691794862.30000007 714110825.60000002 736426788.89999998 758742752.20000005 781058715.5 803374678.80000007 825690642.10000002 848006605.39999998 870322568.70000005 892638532 914954495.30000007 937270458.60000002 959586421.89999998 981902385.20000005 1004218348.5 1026534311.80000007 1048850275.10000002 1071166238.4000001 1093482201.70000005 1115798165],cast_info.nr_order
