table,column,min,max
badges,Id,1,92240
badges,UserId,2,55746
badges,Date,NA,NA
votes,UserId,-1,55706
votes,Id,1,386258
votes,BountyAmount,0,500
votes,CreationDate,NA,NA
votes,VoteTypeId,1,16
votes,PostId,1,115376
comments,Id,1,221292
comments,PostId,1,115376
comments,Score,0,90
comments,CreationDate,NA,NA
comments,UserId,3,55746
tags,Id,1,1869
tags,Count,1,7244
tags,ExcerptPostId,2331,114058
posts,LastEditorUserId,-1,55733
posts,OwnerUserId,-1,55746
posts,PostTypeId,1,7
posts,Id,1,115378
posts,AnswerCount,0,136
posts,ViewCount,1,175495
posts,Score,-19,192
posts,CreationDate,NA,NA
posts,FavoriteCount,0,233
posts,CommentCount,0,45
postLinks,Id,108,3356789
postLinks,CreationDate,NA,NA
postLinks,PostId,4,115360
postLinks,RelatedPostId,1,115163
postLinks,LinkTypeId,1,3
users,Id,-1,55747
users,DownVotes,0,1920
users,UpVotes,0,11442
users,Views,0,20932
users,CreationDate,NA,NA
users,Reputation,1,87393
postHistory,Id,1,386848
postHistory,PostHistoryTypeId,1,38
postHistory,PostId,1,115378
postHistory,CreationDate,NA,NA
postHistory,UserId,-1,55746
