table,column,min,max
item,i_item_sk,1,102000
item,i_item_desc,NA,NA
item,i_product_name,NA,NA
item,i_wholesale_cost,0.02,88.66
item,i_manufact_id,1,1000
item,i_rec_end_date,NA,NA
item,i_class_id,1,16
item,i_current_price,0.09,99.99
item,i_item_id,NA,NA
item,i_rec_start_date,NA,NA
item,i_category_id,1,10
item,i_brand_id,1001001,10016017
item,i_manager_id,1,100
item,i_container,NA,NA
item,i_brand,NA,NA
item,i_category,NA,NA
item,i_size,,NA
item,i_class,NA,NA
item,i_manufact,NA,NA
item,i_formulation,NA,NA
item,i_units,NA,NA
item,i_color,NA,NA
web_returns,wr_reason_sk,1.0,45.0
web_returns,wr_web_page_sk,1.0,200.0
web_returns,wr_returning_hdemo_sk,1.0,7200.0
web_returns,wr_return_quantity,1.0,100.0
web_returns,wr_refunded_hdemo_sk,1.0,7200.0
web_returns,wr_return_amt,0.0,25649.4
web_returns,wr_fee,0.5,100.0
web_returns,wr_return_amt_inc_tax,0.0,27079.21
web_returns,wr_return_tax,0.0,2090.05
web_returns,wr_returned_date_sk,2450828.0,2452997.0
web_returns,wr_returned_time_sk,0.0,86399.0
web_returns,wr_account_credit,0.0,22037.26
web_returns,wr_return_ship_cost,0.0,12260.19
web_returns,wr_refunded_cash,0.0,24003.81
web_returns,wr_net_loss,0.54,13871.85
web_returns,wr_reversed_charge,0.0,17837.6
web_returns,wr_item_sk,1.0,102000.0
web_returns,wr_order_number,1.0,600000.0
web_returns,wr_returning_addr_sk,1.0,250000.0
web_returns,wr_refunded_addr_sk,1.0,250000.0
web_returns,wr_returning_cdemo_sk,4.0,1920799.0
web_returns,wr_refunded_customer_sk,1.0,500000.0
web_returns,wr_refunded_cdemo_sk,4.0,1920799.0
web_returns,wr_returning_customer_sk,1.0,500000.0
date_dim,d_date_sk,2415022,2488070
date_dim,d_current_year,NA,NA
date_dim,d_current_quarter,NA,NA
date_dim,d_quarter_seq,1,801
date_dim,d_year,1900,2100
date_dim,d_week_seq,1,10436
date_dim,d_month_seq,0,2400
date_dim,d_date,NA,NA
date_dim,d_current_month,NA,NA
date_dim,d_dow,0,6
date_dim,d_fy_quarter_seq,1,801
date_dim,d_fy_year,1900,2100
date_dim,d_dom,1,31
date_dim,d_fy_week_seq,1,10436
date_dim,d_moy,1,12
date_dim,d_qoy,1,4
date_dim,d_current_week,NA,NA
date_dim,d_first_dom,2415021,2488070
date_dim,d_same_day_lq,2414930,2487978
date_dim,d_last_dom,2415020,2488372
date_dim,d_date_id,NA,NA
date_dim,d_same_day_ly,2414657,2487705
date_dim,d_current_day,NA,NA
date_dim,d_holiday,NA,NA
date_dim,d_day_name,NA,NA
date_dim,d_following_holiday,NA,NA
date_dim,d_quarter_name,NA,NA
date_dim,d_weekend,NA,NA
dbgen_version,dv_version,,
dbgen_version,dv_create_date,,
dbgen_version,dv_create_time,,
dbgen_version,dv_cmdline_args,,
call_center,cc_call_center_sk,1,24
call_center,cc_call_center_id,NA,NA
call_center,cc_rec_start_date,NA,NA
call_center,cc_rec_end_date,NA,NA
call_center,cc_closed_date_sk,,
call_center,cc_open_date_sk,2450806,2451146
call_center,cc_name,NA,NA
call_center,cc_class,NA,NA
call_center,cc_employees,6,680
call_center,cc_sq_ft,2724,292056
