,table,column,bins,table_column
0,item,i_item_sk,[1 2040.98 4080.96 6120.94 8160.92 10200.9 12240.88 14280.86 16320.84 18360.82 20400.8 22440.78 24480.76 26520.74 28560.72 30600.7 32640.68 34680.66 36720.64 38760.62 40800.6 42840.58 44880.56 46920.54 48960.52 51000.5 53040.48 55080.46 57120.44 59160.42 61200.4 63240.38 65280.36 67320.34 69360.32 71400.3 73440.28 75480.26 77520.24 79560.22 81600.2 83640.18 85680.16 87720.14 89760.12 91800.1 93840.08 95880.06 97920.04 99960.02 102000],item.i_item_sk
1,item,i_item_desc,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],item.i_item_desc
2,item,i_product_name,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],item.i_product_name
3,item,i_wholesale_cost,[0.02 1.7928 3.5656 5.3384 7.1112 8.884 10.6568 12.4296 14.2024 15.9752 17.748 19.5208 21.2936 23.0664 24.8392 26.612 28.3848 30.1576 31.9304 33.7032 35.476 37.2488 39.0216 40.7944 42.5672 44.34 46.1128 47.8856 49.6584 51.4312 53.204 54.9768 56.7496 58.5224 60.2952 62.068 63.8408 65.6136 67.3864 69.1592 70.932 72.7048 74.4776 76.2504 78.0232 79.796 81.5688 83.3416 85.1144 86.8872 88.66],item.i_wholesale_cost
4,item,i_manufact_id,[1 20.98 40.96 60.94 80.92 100.9 120.88 140.86 160.84 180.82 200.8 220.78 240.76 260.74 280.72 300.7 320.68 340.66 360.64 380.62 400.6 420.58 440.56 460.54 480.52 500.5 520.48 540.46 560.44 580.42 600.4 620.38 640.36 660.34 680.32 700.3 720.28 740.26 760.24 780.22 800.2 820.18 840.16 860.14 880.12 900.1 920.08 940.06 960.04 980.02 1000],item.i_manufact_id
5,item,i_rec_end_date,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],item.i_rec_end_date
6,item,i_class_id,[1 1.3 1.6 1.9 2.2 2.5 2.8 3.1 3.4 3.7 4 4.3 4.6 4.9 5.2 5.5 5.8 6.1 6.4 6.7 7 7.3 7.6 7.9 8.2 8.5 8.8 9.1 9.4 9.7 10 10.3 10.6 10.9 11.2 11.5 11.8 12.1 12.4 12.7 13 13.3 13.6 13.9 14.2 14.5 14.8 15.1 15.4 15.7 16],item.i_class_id
7,item,i_current_price,[0.09 2.088 4.086 6.084 8.082 10.08 12.078 14.076 16.074 18.072 20.07 22.068 24.066 26.064 28.062 30.06 32.058 34.056 36.054 38.052 40.05 42.048 44.046 46.044 48.042 50.04 52.038 54.036 56.034 58.032 60.03 62.028 64.026 66.024 68.022 70.02 72.018 74.016 76.014 78.012 80.01 82.008 84.006 86.004 88.002 90 91.998 93.996 95.994 97.992 99.99],item.i_current_price
8,item,i_item_id,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],item.i_item_id
9,item,i_rec_start_date,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],item.i_rec_start_date
